BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
1620	DEC	Adv O1 Verb Never S                               	
1622	DEC	Adv O2 O1 Verb Never S                            	
1624	DEC	Adv O3 P O1 Verb Never S                          	
1626	DEC	Adv O3 P O2 O1 Verb Never S                       	
1628	DEC	Adv O3 P Verb Never S                             	
1630	DEC	Adv Verb Never S                                  	
1632	DEC	Adv O1 Verb Not Aux S                             	
1634	DEC	Adv O2 O1 Verb Not Aux S                          	
1636	DEC	Adv O3 P O1 Verb Not Aux S                        	
1638	DEC	Adv O3 P O2 O1 Verb Not Aux S                     	
1640	DEC	Adv O3 P Verb Not Aux S                           	
1642	DEC	Adv Verb Not Aux S                                	
1644	DEC	Adv O1 Verb Never Aux S                           	
1646	DEC	Adv O2 O1 Verb Never Aux S                        	
1648	DEC	Adv O3 P O1 Verb Never Aux S                      	
1650	DEC	Adv O3 P O2 O1 Verb Never Aux S                   	
1652	DEC	Adv O3 P Verb Never Aux S                         	
1654	DEC	Adv Verb Never Aux S                              	
1680	DEC	Adv O1 Verb S                                     	
1682	DEC	Adv O2 O1 Verb S                                  	
1684	DEC	Adv O3 P O1 Verb S                                	
1686	DEC	Adv O3 P O2 O1 Verb S                             	
1688	DEC	Adv O3 P Verb S                                   	
1690	DEC	Adv Verb S                                        	
1704	DEC	Adv O1 Verb Aux S                                 	
1706	DEC	Adv O2 O1 Verb Aux S                              	
1708	DEC	Adv O3 P O1 Verb Aux S                            	
1710	DEC	Adv O3 P O2 O1 Verb Aux S                         	
1712	DEC	Adv O3 P Verb Aux S                               	
1714	DEC	Adv Verb Aux S                                    	
5520	DEC	O1 Adv Verb Never S                               	
5522	DEC	O1 Adv O2 Verb Never S                            	
5524	DEC	O1 Adv O3 P Verb Never S                          	
5526	DEC	O1 Adv O3 P O2 Verb Never S                       	
5528	DEC	O1 Verb Never S                                   	
5530	DEC	O1 O2 Verb Never S                                	
5532	DEC	O1 O3 P Verb Never S                              	
5534	DEC	O1 O3 P O2 Verb Never S                           	
5536	DEC	O1 Adv Verb Not Aux S                             	
5538	DEC	O1 Adv O2 Verb Not Aux S                          	
5540	DEC	O1 Adv O3 P Verb Not Aux S                        	
5542	DEC	O1 Adv O3 P O2 Verb Not Aux S                     	
5544	DEC	O1 Verb Not Aux S                                 	
5546	DEC	O1 O2 Verb Not Aux S                              	
5548	DEC	O1 O3 P Verb Not Aux S                            	
5550	DEC	O1 O3 P O2 Verb Not Aux S                         	
5552	DEC	O1 Adv Verb Never Aux S                           	
5554	DEC	O1 Adv O2 Verb Never Aux S                        	
5556	DEC	O1 Adv O3 P Verb Never Aux S                      	
5558	DEC	O1 Adv O3 P O2 Verb Never Aux S                   	
5560	DEC	O1 Verb Never Aux S                               	
5562	DEC	O1 O2 Verb Never Aux S                            	
5564	DEC	O1 O3 P Verb Never Aux S                          	
