BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
1836	Q  	Adv O1 Verb Not S Aux                             	
1838	Q  	Adv O2 O1 Verb Not S Aux                          	
1840	Q  	Adv O3 P O1 Verb Not S Aux                        	
1842	Q  	Adv O3 P O2 O1 Verb Not S Aux                     	
1844	Q  	Adv O3 P Verb Not S Aux                           	
1846	Q  	Adv Verb Not S Aux                                	
1848	Q  	Adv O1 Verb Never S Aux                           	
1850	Q  	Adv O2 O1 Verb Never S Aux                        	
1852	Q  	Adv O3 P O1 Verb Never S Aux                      	
1854	Q  	Adv O3 P O2 O1 Verb Never S Aux                   	
1856	Q  	Adv O3 P Verb Never S Aux                         	
1858	Q  	Adv Verb Never S Aux                              	
1860	Q  	Adv O1 Verb S Aux                                 	
1862	Q  	Adv O2 O1 Verb S Aux                              	
1864	Q  	Adv O3 P O1 Verb S Aux                            	
1866	Q  	Adv O3 P O2 O1 Verb S Aux                         	
1868	Q  	Adv O3 P Verb S Aux                               	
1870	Q  	Adv Verb S Aux                                    	
5808	DEC	O1 Adv Verb Not S Aux                             	
5810	DEC	O1 Adv O2 Verb Not S Aux                          	
5812	DEC	O1 Adv O3 P Verb Not S Aux                        	
5814	DEC	O1 Adv O3 P O2 Verb Not S Aux                     	
5816	Q  	O1 Verb Not S Aux                                 	
5818	DEC	O1 O2 Verb Not S Aux                              	
5820	DEC	O1 O3 P Verb Not S Aux                            	
5822	DEC	O1 O3 P O2 Verb Not S Aux                         	
5824	DEC	O1 Adv Verb Never S Aux                           	
5826	DEC	O1 Adv O2 Verb Never S Aux                        	
5828	DEC	O1 Adv O3 P Verb Never S Aux                      	
5830	DEC	O1 Adv O3 P O2 Verb Never S Aux                   	
5832	Q  	O1 Verb Never S Aux                               	
5834	DEC	O1 O2 Verb Never S Aux                            	
5836	DEC	O1 O3 P Verb Never S Aux                          	
5838	DEC	O1 O3 P O2 Verb Never S Aux                       	
5840	DEC	O1 Adv Verb S Aux                                 	
5842	DEC	O1 Adv O2 Verb S Aux                              	
5844	DEC	O1 Adv O3 P Verb S Aux                            	
5846	DEC	O1 Adv O3 P O2 Verb S Aux                         	
5848	Q  	O1 Verb S Aux                                     	
5850	DEC	O1 O2 Verb S Aux                                  	
5852	DEC	O1 O3 P Verb S Aux                                	
5854	DEC	O1 O3 P O2 Verb S Aux                             	
9064	DEC	O2 Adv O1 Verb Not S Aux                          	
9066	DEC	O2 Adv O3 P O1 Verb Not S Aux                     	
9068	Q  	O2 O1 Verb Not S Aux                              	
9070	DEC	O2 O3 P O1 Verb Not S Aux                         	
9072	DEC	O2 Adv O1 Verb Never S Aux                        	
9074	DEC	O2 Adv O3 P O1 Verb Never S Aux                   	
9076	Q  	O2 O1 Verb Never S Aux                            	
9078	DEC	O2 O3 P O1 Verb Never S Aux                       	
9080	DEC	O2 Adv O1 Verb S Aux                              	
9082	DEC	O2 Adv O3 P O1 Verb S Aux                         	
9084	Q  	O2 O1 Verb S Aux                                  	
9086	DEC	O2 O3 P O1 Verb S Aux                             	
16612	DEC	S Adv O1 Verb Not Aux                             	
16613	DEC	S Adv O2 O1 Verb Not Aux                          	
16614	DEC	S Adv O3 P O1 Verb Not Aux                        	
16615	DEC	S Adv O3 P O2 O1 Verb Not Aux                     	
16616	DEC	S Adv O3 P Verb Not Aux                           	
16617	DEC	S Adv Verb Not Aux                                	
16618	DEC	S O1 Verb Not Aux                                 	
16619	DEC	S O2 O1 Verb Not Aux                              	
16620	DEC	S O3 P O1 Verb Not Aux                            	
16621	DEC	S O3 P O2 O1 Verb Not Aux                         	
16622	DEC	S O3 P Verb Not Aux                               	
16623	DEC	S Verb Not Aux                                    	
16624	DEC	S Adv O1 Verb Never Aux                           	
16625	DEC	S Adv O2 O1 Verb Never Aux                        	
16626	DEC	S Adv O3 P O1 Verb Never Aux                      	
16627	DEC	S Adv O3 P O2 O1 Verb Never Aux                   	
16628	DEC	S Adv O3 P Verb Never Aux                         	
16629	DEC	S Adv Verb Never Aux                              	
16630	DEC	S O1 Verb Never Aux                               	
16631	DEC	S O2 O1 Verb Never Aux                            	
16632	DEC	S O3 P O1 Verb Never Aux                          	
16633	DEC	S O3 P O2 O1 Verb Never Aux                       	
16634	DEC	S O3 P Verb Never Aux                             	
16635	DEC	S Verb Never Aux                                  	
16636	DEC	S Adv O1 Verb Aux                                 	
16637	DEC	S Adv O2 O1 Verb Aux                              	
16638	DEC	S Adv O3 P O1 Verb Aux                            	
16639	DEC	S Adv O3 P O2 O1 Verb Aux                         	
16640	DEC	S Adv O3 P Verb Aux                               	
16641	DEC	S Adv Verb Aux                                    	
16642	DEC	S O1 Verb Aux                                     	
16643	DEC	S O2 O1 Verb Aux                                  	
16644	DEC	S O3 P O1 Verb Aux                                	
16645	DEC	S O3 P O2 O1 Verb Aux                             	
16646	DEC	S O3 P Verb Aux                                   	
16647	DEC	S Verb Aux                                        	
